Course Subject,Course Number,Course Name,Course Description,See Also
BLDG,484,Diagnostics and Rehabilitation of Building Envelope (3 credits),"Prerequisite: BLDG 463 previously or concurrently. This course covers the following topics: modes of failures including wood decay, mould growth, freeze-thaw, corrosion, chemical reaction, and movements; common failures in building envelopes including contemporary and traditional walls, windows, roofs and below-grade structures; performance assessment protocols including diagnostics procedures, laboratory and field test methods; remedy strategies and maintenance plan; relevant building codes and standards. A project is required. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
BLDG,490,Capstone Building Engineering Design Project (4 credits),"Prerequisite: Minimum of 75 credits in the BEng (Bldg) program including ENCS 282; BCEE 344, 345; BLDG 371, 390; ENGR 301. The project of each team encompasses the integrated design of at least three sub-systems of a new or retro-fitted building to achieve high performance and efficiency at reasonable cost; sustainable design and environmental impact issues are addressed in all projects. In the process, students learn, through case studies and literature survey, the information gathering and decision/design process, problem-resolution as well as aspects related to management, teamwork and communication. Students registering for this course must contact the course coordinator for the detailed procedure. Lectures: two hours per week, two terms.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
BLDG,490A,Capstone Building Engineering Design Project (4 credits),"Prerequisite: Minimum of 75 credits in the BEng (Bldg) program including ENCS 282; BCEE 344, 345; BLDG 371, 390; ENGR 301. The project of each team encompasses the integrated design of at least three sub-systems of a new or retro-fitted building to achieve high performance and efficiency at reasonable cost; sustainable design and environmental impact issues are addressed in all projects. In the process, students learn, through case studies and literature survey, the information gathering and decision/design process, problem-resolution as well as aspects related to management, teamwork and communication. Students registering for this course must contact the course coordinator for the detailed procedure. Lectures: two hours per week, two terms.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
BLDG,490B,Capstone Building Engineering Design Project (4 credits),"Prerequisite: Minimum of 75 credits in the BEng (Bldg) program including ENCS 282; BCEE 344, 345; BLDG 371, 390; ENGR 301. The project of each team encompasses the integrated design of at least three sub-systems of a new or retro-fitted building to achieve high performance and efficiency at reasonable cost; sustainable design and environmental impact issues are addressed in all projects. In the process, students learn, through case studies and literature survey, the information gathering and decision/design process, problem-resolution as well as aspects related to management, teamwork and communication. Students registering for this course must contact the course coordinator for the detailed procedure. Lectures: two hours per week, two terms.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
BLDG,498,Topics in Building Engineering (3 credits),Prerequisite: Permission of the Department. This course may be offered in a given year upon the authorization of the Department. The course content may vary from offering to offering and will be chosen to complement the available elective courses. Lectures: three hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,212,Civil Engineering Drawing and Introduction to Design (3 credits),"Fundamentals of technical drawing, orthographic projections, sectional views. Computer-aided drawing; slabs, beams, and columns; steel structures; building trusses and bridges, wood and masonry structures. Working drawing and dimensioning practice. Introduction to the design process. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,231,Geology for Civil Engineers (3 credits),"Basic principles of physical and structural geology with emphasis on topics related to civil engineering, study of minerals, rocks and soil types, load formation, techniques of air-photo interpretations, and geological mapping. Geological site investigation. Preparation and interpretation of engineering geology reports. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,321,Engineering Materials (3.75 credits),"Prerequisite: CHEM 205 or equivalent. Linear and nonlinear material behaviour, time-dependent behaviour; structural and engineering properties of structural metals; behaviour of wood; production and properties of concrete; bituminous materials, ceramics, plastics; introduction to composite materials. Lectures: three hours per week. Laboratory: three hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,341,Civil Engineering Systems (3 credits),"Prerequisite: BCEE 231 previously or concurrently. Development of concepts and techniques commonly associated with systems engineering which are applicable to design and operation of systems that concern civil engineers. Design and planning process; problem formulation, optimization concepts, linear programming, decision analysis; system simulation; network planning and project scheduling; computer applications. The techniques developed are used to solve problems in transportation, water resources, structures, and construction management. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,361,Introduction to Environmental Engineering (3.5 credits),"Prerequisite: ENGR 361. Ecosystems considerations, food chain, natural decomposition, and recycling; environmental problems and impact of engineering activities. Various modes of pollution, water, air, and soil contamination, noise pollution; pollution measurement and quantification. Water and waste-water physical, chemical and biological characteristics; turbidity and colour, dissolved oxygen, hardness, pH, alkalinity, organic content, sampling and analysis, chemical and biochemical oxygen demand. Basic processes of treatment: flocculation and coagulation, sedimentation, filtration. Lectures: three hours per week. Tutorial: two hours per week, alternate weeks. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,372,Transportation Engineering (3 credits),"Prerequisite: BCEE 371; CIVI 341. Fields of transportation engineering; transportation’s roles in society; planning and design of road, rail, air, and water-way system components: terminals, right-of-way; control systems: evaluation of alternative modes and decision-making process; introduction to computer-aided design and management of systems. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,381,Hydraulics (3.5 credits),"Prerequisite: ENGR 361, 391. Basic hydrodynamics; boundary layer theory, principle of energy losses. Steady flow in open channel; uniform flow, specific energy and critical flow, transition; gradually varied flow in channels and conduits, water surface profiles, computer applications. Flow measurement in open channel, weirs, overflow spillways. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,382,Water Resources Engineering (3.5 credits),"Prerequisite: CIVI 381; ENGR 391 or EMAT 391. Sources of water: surface water, groundwater, water quantities and requirements. Water use cycle. Characteristics of water and wastewater. Demand forecast, water use prediction and planning. Groundwater withdrawal and well hydraulics. Water supply network analysis, design of distribution systems, storage, pumping. Sanitary and storm water quantities, urban hydrology. Design of sewer systems, interceptors, gravity sewer, computer applications. Sustainable use of water resources. Design case studies. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,390,Civil Engineering Design Project (3.5 credits),"Prerequisite: CIVI 361 previously or concurrently; ENCS 282; BCEE 344 or 345 previously or concurrently. The project of each team will encompass the various stages of design of a medium-size civil engineering project. Students learn civil engineering design process, methodology, identification of objectives, codes, formulation of design problems, and estimation of loads on structures. The topics of design include the development and evaluation of sustainable design alternatives; and the computer-aided design tools. Additionally, performance evaluation using modelling, sensitivity analysis, and cost estimation is presented. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,432,Soil Mechanics (3.5 credits),"Prerequisite: ENGR 244. Index properties and classification of soils. Weight-volume relationships. Soil structures. Moisture-density relationships. Permeability, deformation, and strength of soils. Principle of total and effective stresses. Steady stage seepage through isotropic soil media. Stress distribution due to external loads and analysis of total settlements. Outline of theory of consolidation. Fundamentals of stability of earth retaining walls, slopes, and footings. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,435,Foundation Design (3 credits),"Prerequisite: CIVI 432. Site investigation. Shallow and deep foundations. Bearing capacity and settlement of foundations. Earth-retaining structures, sheet piles, cofferdams, anchors. Foundations subjected to dynamic loading. Foundations on difficult soils, soil improvement and underpinning. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,437,Advanced Geotechnical Engineering (3 credits),Prerequisite: CIVI 432. Mechanical properties of rocks and rock formations. Underground openings in rocks. Slope stability of stratified formations. Foundations on rocks. Rock bolting. Introduction of soil dynamics. Wave propagation in one and two dimensions in elastic media. Seismic waves. Foundations subjected to dynamic loading. Theory of liquefaction. Lectures: three hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,440,Computer Applications in Civil Engineering Practice (3 credits),"Prerequisite: BCEE 231; 75 credits in the program. General purpose IT tools for civil engineering applications: database programming and web-based tools. Introduction to remote sensing and GIS. Application of major software packages in selected areas of civil engineering practice with emphasis on modelling, data integration, and work-flow. Case studies in structural design, geotechnical engineering, transportation, and environmental engineering. Lectures: two hours per week. Laboratory: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,453,Design of Reinforced Concrete Structures (3.5 credits),"Prerequisite: BCEE 345; CIVI 390 or BLDG 390 previously or concurrently. This course covers a wide variety of topics on reinforced concrete including two-way slab systems (flat plate, flat slab and slab-on-beams); slender columns; columns subjected to biaxial bending; lateral loads resisting systems (moment-resisting frames, shear walls and coupled shear walls); prestressed concrete (losses, design requirements for flexure, shear, bond, anchorage and deflections). Design project. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,454,Design of Steel Structures (3.5 credits),"Prerequisite: BCEE 344; CIVI 390 or BLDG 390 previously or concurrently. This course covers a wide variety of topics on steel structures: trends and developments in structural-steel design, framing systems, floor systems such as composite construction and plate girders, braced frames, and moment-resisting frames. The subject includes connections and P-Delta effects. A design project is required. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,464,Environmental Impact Assessment (3 credits),"Prerequisite: CIVI 361. Engineering activities and the environment; environmental ethics. Prediction and estimation of impact on air, water, soil quality, and biological, socio-economic, cultural environments. Water and air pollution laws, solid and hazardous waste laws. Environmental inventories, assessment preparation, and review. Federal and provincial laws and regulations on environmental assessment. Strategies for environmental compliance, resolution of environmental conflicts. Case studies. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,465,Water Pollution and Control (3.5 credits),"Prerequisite: CIVI 361. Physical, chemical, and biological characteristics of water, water quality standards, reaction kinetics and material balances, eutrophication. Containment of reactive contaminants. Natural purification processes in water systems, adsorption, absorption; diffusion and dispersion, oxidation. Large-scale transport of contaminants, single and multiple source models; modelling of transport processes, computer simulation. Introduction to ground-water pollution, sea-water intrusion. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,466,Engineering Aspects of Chemical and Biological Processes (3 credits),"Prerequisite: CIVI 361. Introduction to water purification, chemical treatment, coagulation, disinfection, special purification methods. Primary and secondary waste-water treatment, solution and surface chemistry, microbiological consideration; reaction kinetics, diffusion processes, membrane processes, re-aeration. Biological treatment, activated sludge process, treatment and disposal; biological reactors; aerated lagoons; trickling filter; biological nutrient removal. Tertiary waste-water treatment. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,467,Air Pollution and Emission Control (3 credits),"Prerequisite: CIVI 361. Types of air pollutants. Sources of air pollutants, effects of air pollutants on health, vegetation, materials, and the atmosphere; emission standards. Meteorological considerations, dispersion of pollutants in the atmosphere, distribution and cleansing of particle matter, atmospheric photochemical reactions. Particulate pollutant control, source correction, cooling treatment; control of gaseous pollutant, point sources, odour control; measurement techniques; computer applications. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,468,Waste Management (3 credits),"Prerequisite: CIVI 361. Solid waste; source and generation, sampling and analysis, collection, transport, and storage. Waste recycling, physical and chemical reduction; drying; energy recovery; disposal of solid waste. Sanitary and secure landfill planning, site selection, design and operation; chemical and biological reactions. Hazardous waste, chemical and physical characteristics, handling, processing, transportation, and disposal. Resource recovery alternatives, material exchanges, hazardous waste management facilities, incinerators, landfills. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,469,Geo-Environmental Engineering (3.5 credits),"Prerequisite: CIVI 361. Structure and surface chemistry of soil, ion exchange, hydrolysis equilibrium, adsorption. Biochemical degradation, toxic contaminants. Mechanical and thermodynamic equilibrium in soil. Geotechnical considerations in environmental design; soil decontamination. Barrier technologies and soil interaction. Landfill covers and leachate collection systems; subsurface investigation, soil-gas survey. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,471,Highway and Pavement Design (3 credits),"Prerequisite: BCEE 371; CIVI 321. This course covers the following topics: design criteria, including capacity and level of service, route alignment and right-of-way considerations, geometric design, earthworks and construction practices; pavement materials and tests; flexible and rigid pavement design procedures including subgrade, base, and surfacing characteristics, loads, stresses in pavement systems, material characterization, pavement response models, effects of natural forces, and construction practices; pavement management; computer applications; geometric and pavement design projects. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,474,Transportation Planning and Design (3 credits),"Prerequisite: CIVI 372. Transportation planning process; data collection and demand analysis; trip generation, trip distribution, modal split and route assignment; forecasting travel patterns. Design of transportation facilities: street sections, intersections, and parking areas. Computer applications and design projects. Lectures: three hours per week. Tutorial: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,483,Hydrology (3 credits),"Prerequisite: CIVI 381. Weather elements; precipitation, stage-discharge relations; evapo-transpiration; ground-water flow; stream-flow hydrography, unit hydrography, synthetic hydrographs; laminar flow; hydrologic routing; instantaneous hydrograph; hydraulic routing, method of characteristics, kinematic routing; statistical analysis, confidence intervals, stochastic generator, autoregressive model; applications of hydrology. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,484,Hydraulic Engineering (3.5 credits),"Prerequisite: CIVI 381. Development of surface water resource; basic measurements in hydraulic engineering; storage reservoirs; practical problems; run-off characteristics of natural steams; probabilistic models; control structures; economic analysis; production function; project optimization; energy dissipators; sediment transportation; elements of river engineering; navigation; control of floods; computer modelling application. Design examples. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,490,Capstone Civil Engineering Design Project (4 credits),"Prerequisite: Minimum of 75 credits in BEng (Civil) including ENGR 301; CIVI 361, 390; BCEE 344, 345. The project of each team will encompass the integrated design of at least two sub-disciplines of civil engineering to achieve high performance at reasonable cost. Through case studies and literature survey, students learn the information gathering and decision/design process, problem resolution, and aspects related to management, teamwork, and communication. Students registering for this course must contact the course coordinator for the detailed procedure. Lectures: two hours per week, two terms.
NOTE: Students will work in groups under direct supervision of a faculty member.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
CIVI,498,Topics in Civil Engineering (3 credits),Prerequisite: Permission of the Department. This course may be offered in a given year upon the recommendation of the Department and approval of GCS Council. The course content may vary from offering to offering and will be chosen to complement the available elective courses. Lectures: three hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 212,     Digital Systems Design I (3.5 credits),"Prerequisite: MATH 204 (Cegep Mathematics 105). Modulo arithmetic: representations of numbers in binary, octal and hexadecimal formats; binary arithmetic. Boolean algebra; theorems and properties, functions, canonical and standard forms. Logic gates and their use in the realization of Boolean algebra statements; logic minimization, multiple output circuits. Designing with MSI and LSI chips, decoders, multi­plexers, adders, multipliers, programmable logic devices. Introduction to sequential circuits; flip-flops. Completely specified sequential machines. Machine equivalence and minimization. Implementation of clock mode sequential circuits. Lectures: three hours per week. Tutorial: two hours per week. Laboratory: 15 hours total.
NOTE: Students who have received credit for COEN 312 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 231,     Introduction to Discrete Mathematics (3 credits),"Prerequisite: MATH 204 (Cegep Mathematics 105). Fundamentals of logic: basic connectives and truth tables; logical equivalence; the laws of logic; logical implication; rules of inference; the use of quantifiers; proofs of theorems. Sets: the laws of set theory. Boolean algebra. Relation of Boolean algebra to logical and set theoretic operations. Modulo arithmetic: division algorithm. Induction and recursion: induction on natural numbers; recursive definitions. Functions and relations: cartesian products and relations; functions; function composition and inverse functions; equivalence relations. Elements of graph theory: basic definitions of graph theory; paths, reachability and connectedness; computing paths from their matrix representation; traversing graphs represented as adjacency lists; trees and spanning trees. Finite-state machines (FSM) deterministic and nondeterministic machines; regular languages; FSM with output; composition of FSM. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 243,     Programming Methodology I (3 credits),"Prerequisite: MATH 204 (Cegep Mathematics 105). This course is an introduction to computer hardware and software, programming and programming paradigms; essential procedural programming languages: key elements; reserved words and identifiers; data types and declarations; statements; arithmetic expressions; different modes of execution. The course covers flow control using If-Else and Switch statements, repetition using loops, recursive functions, pointers, references and dynamic data structures and function pointer. The course material also includes Lambda expression, data structures, built-in arrays, template arrays and vectors, n-dimensional vectors, sorting and searching. Students learn object-oriented programming, user-defined classes, class attributes and methods, object creation, use and destruction. Students are also introducted to exception handling and UML class diagrams. Lectures: three hours per week. Tutorial: two hours per week.
NOTE: Students who have received credit for COMP 248, MIAE 215 or MECH 215 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 244,     Programming Methodology II (3 credits),"Prerequisite: COEN 243 or MECH 215 or MIAE 215. This course covers advanced topics in computer programming. The course reviews object-oriented programming and further concepts, and revisits pointers. The following topics are covered: operator overloading (regular and advanced usage), fundamentals of file and stream processing. The course also covers class composition and inheritance (regular and advanced usage), virtual functions, polymorphism, static and dynamic binding and abstract classes. A case study of a small-scale object-oriented project along with simplified analysis, design and implementation are discussed. Other topics in the course include files and streams, exception handling (advanced usage), templates (class templates, template instantiation and type binding), sequence containers and STL algorithms, UML modelling and an introduction to open software repository. Lectures: three hours per week. Tutorial: two hours per week.
NOTE: Students who have received credit for COMP 249 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 311,     Computer Organization and Software (3.5 credits),"Prerequisite: COEN 212, 243. Introduction and terminology. Review of data representation and arithmetic. Floating-point representation and arithmetic. Functional units: CPU, memory, I/O, computer operation. Machine programming fundamentals: instruction structure, addressing modes, the assembly process, examples of architectures. Case study of a microprocessor architecture: programming model, assembler and addressing modes, instruction set and formats; programming examples. Stacks, subroutines, macros, exceptions, interrupts. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 313,     Digital Systems Design II (3.5 credits),"Prerequisite: COEN 212, 231. Two-level and multi-level logic optimization techniques. Hardware description languages (VHDL) for synthesis and simulation. Asynchronous design. Algorithmic state machines. Clocking and clock skew. Metastability. Self-timed concepts. Finite state machine (FSM) optimization. State reduction. FSM partitioning. Programmable logic devices and field programmable gate arrays. Data path and control design for processors. Testing issues. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 315,     Digital Electronics (3.5 credits),"Prerequisite: ELEC 311. Analysis and simulation of basic digital circuit blocks, in particular, CMOS, BiCMOS and ECL technologies. The focus is on the electronics aspect of digital circuits. Combinational and sequential circuit units, including logic gates, flip-flops, signal generators, static and dynamic memories, and interconnections. Performance analysis in terms of switching speeds, power dissipation, noise immunity, fan-in and fan-out. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 316,     Computer Architecture and Design (3.5 credits),"Prerequisite: COEN 311, 313. Review of basic computer architecture designs. Fundamentals of computer design and performance. Cost issues. Instruction set design principles. Memory hierarchies: registers, caches, and virtual memories. Basic processor implementation issues. High performance computing issues such as pipelining, superscalar, and vector processing. Input/output subsystem designs. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 317,     Microprocessor-Based Systems (3.5 credits),"Prerequisite: COEN 311 or COMP 228 or SOEN 228; COEN 313. This course covers the following topics: introduction to microprocessor interfacing; bus functions, bus interconnections, synchronous and asynchronous bus; signal flow, data transfer and memory Interfacing; parallel, serial, high-speed, analog interfacing; secure Digital Card Interface; the interrupt system; bus arbitration and DMA; data Acquisition Systems Network Interfacing. Lectures: three hours per week. Tutorials: one hour per week. Laboratory: 15 hours total.
NOTE: Students who have received credit for COEN 417 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 320,     Introduction to Real-Time Systems (3 credits),"Prerequisite: COEN 346 or COMP 346. Fundamentals of real-time systems: definitions, requirements, design issues and applica-tions. Real-time operating systems (RTOS) feature: multi-tasking, process management, scheduling, interprocess communication and synchronization, real-time memory management, clocks and timers, interrupt and exception handling, message queues, asynchronous input/output. Concurrent programming languages: design issues and examples, POSIX threads and semaphores. Introduction to real-time uniprocessor scheduling policies: static vs. dynamic, pre-emptive vs. non-pre-emptive, specific techniques — rate-monotonic algorithm, earliest-deadline-first, deadline monotonic, least-laxity-time-first; clock-driven scheduling. Design and specification techniques — Finite state machine based State-chart, Dataflow diagram, Petri nets. Reliability and fault-tolerance. Case studies of RTOS — QNX, VxWorks, and research prototypes. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 345,     Software Testing and Validation (3.5 credits),"Prerequisite: SOEN 341. Overview of the three phases and deliverables of a project. Validation vs. verification, reviews, walkthrough. Testing: acceptance testing, integration testing, module testing. Writing stubs. Performance testing. Role of formal methods. Code inspection. Defect tracking. Causality analysis. Software Metrics and quality management. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 346,      Operating Systems (3.5 credits),"Prerequisite: COEN 311; COMP 352 or COEN 352. The evolution, architecture, and use of modern operating systems (OS). Multi-tasking, concurrency and synchronization, IPC, deadlock, resource allocation, scheduling, multi-threaded programming, memory and storage managements, file systems, I/O techniques, buffering, protection and security, the client/server paradigm and communications. Introduction to real time operating systems. Students write substantial programs dealing with concurrency and synchronization in a multi-tasking environment. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.
NOTE: Students who have received credit for COMP 346 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN,352,      Data Structures and Algorithms (3 credits),"Prerequisite: COEN 231, 244. Mathematical introduction: mathematical induction, program analysis, and algorithm complexity. Fundamental data structures: lists, stacks, queues, and trees. Fundamental algorithms: hashing and sorting. Graph structures and algorithms. Overview of algorithm design techniques, including greedy algorithms, divide and conquer strategies, recursive and backtracking algorithms, and heuristics. Application of data structures and algorithms to engineering. Lectures: three hours per week. Tutorial: one hour per week.
NOTE: Students who have received credit for COMP 352 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 390,     Computer Engineering Product Design Project (3 credits),"Prerequisite: Minimum of 45 credits in BEng (Computer); COEN 311, 352; ENGR 290. The Product Design Project reinforces skills introduced in ENGR 290, which include teamwork, project management, engineering design for a complex problem, technical writing, and technical presentation in a team environment. It also introduces students to product development. Students are assigned to teams and each team develops, defines, designs and builds a system and/or device under broad constraints set by the Department. Students present their product definition and design, and demonstrate that their system/device works at the end of the term. Tutorial: two hours per week. Equivalent laboratory time: six hours per week.
NOTE: All written documentation must follow the Concordia Form and Style guide. Students are responsible for obtaining this document before beginning the project.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 413,     Hardware Functional Verification (3 credits),"Prerequisite: COEN 313. Review of hardware design languages. Introduction to functional verification. Design for verification. Writing test benches, simulation engines, and coverage metrics. Introduction to verification languages. Verification plan: strategies, test cases, test benches. Modelling verification environments. Modelling input relations, intervals, events. Introduction to formal verification tools. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 421,     Embedded Systems Design (4 credits),"Prerequisite: COEN 317, 320; SOEN 341. Embedded systems, foundations for cyber-physical systems design. Embedded HW architectures, sensors, actuators, processors. IO and peripherals, memory architectures, interfacing memory and peripheral. Hardware-software partitioning, software transformations, floating to fixed point conversion, loop transformations, code compaction, low-power design and embedded system testing. Lectures: three hours per week. Laboratory: 30 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 422,     Cyber-Physical Systems (3 credits),"Prerequisite: COEN 320; ELEC 372. Models of computation for cyber-physical systems. Models for computation and physical systems. Discrete event dynamic models, finite-state machines (FSMs). Extended FSMs, statecharts, petri nets. Continuous variable models. Scheduling and optimization of process networks, hybrid models. Specification, simulation and performance analysis of cyber-physical systems. Relationship of program execution with physical time constants. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 424,     Programming on the Cloud (3 credits),"Prerequisite: COEN 346. Autonomy of cloud computing, service and business models, data centres and virtualization. CAP theorem, REST API and data models. Map reduce and programming model of distributed data processing on computer clusters. Distributed file systems for computer clusters, development environments and tools on clouds. Cloud-based data access and query. Cloud application design principles. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN, 432,     Applied Evolutionary and Learning Algorithms (3 credits),"Prerequisite: COEN 352 or COMP 352. Heuristic learning algorithms applied to real-world problems of design, classification, prediction and abstraction. Genetic algorithms, genetic programming, evolutionary strategies, generative and developmental systems, artificial life approaches, swarm intelligence, self-modifying programs, tabu search, simulated annealing and support vector machines, introduction to deep learning architectures. Examples of practical applications and challenges focused on biological and biomedical engineering. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
COEN ,433,     (also listed as BIOL 475)Biological Computing and Synthetic Biology (3 credits),"Prerequisite: COEN 212, 244. Introduction to the cell and the genome. Foundations of synthetic biology and ethics. Synthetic genomes and metabolic engineering. Model organisms, such as E. coli bacteria and synthetic cells, self-replicating cells man-made from cloned genes, a cellular membrane and the basic elements of RNA and protein synthesis. Designing computational devices for implementation in biological cells. Introduction to modelling and computer simulation of gene regulatory networks. Methods of building and testing gene regulatory networks within and without cells. Expanding functionality via inter-cellular signaling. Basic interfacing to electronic sensors and actuators. Landmark and interesting applications of synthetic biology in computer engineering and other disciplines. Lectures: three hours per week.
NOTE: Students who have received credit for BIOL 475 or for this topic under a BIOL 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
